passage_uri,real_sourcekey
https://r11.eu/rdf/resource/653749d3-86d7-4ade-ae94-4f951f01320c,Esphigmenou 5
https://r11.eu/rdf/resource/03f469c4-8106-49e3-bb28-4589022a47c6,Vatopedi 7
https://r11.eu/rdf/resource/b14b5687-f31f-4965-9b2e-a9c63a5bd8b5,Vatopedi 7
https://r11.eu/rdf/resource/c5ba485c-8240-4e5a-8b10-90cf4944f4d9,Panteleemon 5
https://r11.eu/rdf/resource/77b230bc-b05e-4aed-9598-3581c5c1f147,Xeropotamou 5
https://r11.eu/rdf/resource/22ae9edd-7d7c-438b-9f1e-31712f35a026,Panteleemon 5
https://r11.eu/rdf/resource/fe870867-4d36-41a5-a76c-2d7c1176168b,Kleinchroniken 14
https://r11.eu/rdf/resource/771ef318-9f84-4e43-9c32-86d5defe1cf1,Kleinchroniken 6
https://r11.eu/rdf/resource/98a89bd8-71c8-4c21-87af-dc14865af157,Kleinchroniken 5
https://r11.eu/rdf/resource/90351261-9f63-4f0a-8a13-52b4d8577e8d,Kleinchroniken 5
https://r11.eu/rdf/resource/103e9460-db4d-405e-af80-31936b92e5da,Kleinchroniken 14
https://r11.eu/rdf/resource/51fe2b4f-0ce0-4fe4-8426-c52de245f937,Kleinchroniken 6
https://r11.eu/rdf/resource/129a2545-db05-48ba-8392-751ecd34508f,Kleinchroniken 6
https://r11.eu/rdf/resource/c1d6b64a-df0a-4832-92b6-4cad5e2b827e,Kleinchroniken 14
https://r11.eu/rdf/resource/16148d75-818b-437d-be48-ea5ebda242de,"Theophylaktos of Ohrid, Letters 17"
https://r11.eu/rdf/resource/01ce0322-2869-4541-b21b-2310500f54a9,"Theophylaktos of Ohrid, Letters 8"
https://r11.eu/rdf/resource/0fa22f50-cfb6-4516-b3be-d79dcc26ca8f,"Theophylaktos of Ohrid, Letters 8"
https://r11.eu/rdf/resource/08a5de0a-abeb-4e90-962c-0a058f3a451d,"Theophylaktos of Ohrid, Letters 8"
https://r11.eu/rdf/resource/b3175af7-300d-4a33-a4c2-3c082fff7fbd,"Psellos, Oratoria minora 2"
https://r11.eu/rdf/resource/0d0bd90b-69c2-4e3d-b818-b1472a703bd9,"Psellos, Oratoria minora 2"
https://r11.eu/rdf/resource/22c231cf-fdf2-44b6-9188-16c4600daf06,"Psellos, Oratoria minora 2"
https://r11.eu/rdf/resource/f4284b6b-9117-4b7c-b7a8-49d659e5ce0f,"Nea Mone, Gedeon 8"
https://r11.eu/rdf/resource/86c4a303-46bf-4288-afc8-4b2a6e9379ad,"Nea Mone, Gedeon 8"
https://r11.eu/rdf/resource/0279e98e-eea4-4041-8e60-013c8d305c4f,"Nea Mone, Gedeon 8"
https://r11.eu/rdf/resource/0ee153c3-59ca-45e0-9909-0ba64c3e05a7,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/2ad40fba-82a6-4d8e-8965-66dec5c59ca5,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/07ef53a0-ba6f-4798-b356-a702fc2c4d27,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/1f53c537-4b1d-4525-aad9-610ced7e04af,"Theophylaktos of Ohrid, Letters 18"
https://r11.eu/rdf/resource/cc2f998e-59e0-4043-a69b-4b69cdb5cf27,"Theophylaktos of Ohrid, Letters 10"
https://r11.eu/rdf/resource/18636d87-a2da-487a-976d-5a3f4b3d686a,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/6102e976-1191-4740-8887-abe9a64dc650,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/f7f04d9f-0976-4b9c-8566-d2bdd4a4323d,"Theophylaktos of Ohrid, Letters 11"
https://r11.eu/rdf/resource/3303833c-c934-4794-8461-75eb85386374,"Theophylaktos of Ohrid, Letters 10"
https://r11.eu/rdf/resource/60eb560a-b92e-4719-b333-6104d3a7fa6e,"Theophylaktos of Ohrid, Letters 49"
https://r11.eu/rdf/resource/b03c12a2-6003-4123-a4a7-1631a1b16d5c,Lavra 39
https://r11.eu/rdf/resource/cec24e74-0b90-4f7a-af28-32357a83caaf,Lavra 39
https://r11.eu/rdf/resource/5cc9d1fc-245c-4f17-8925-6d1d5e67384b,Lavra 39
https://r11.eu/rdf/resource/f6f0be68-3962-4b82-8d5a-19e637c7e8d5,Panteleemon 3
https://r11.eu/rdf/resource/4ee78e53-f549-4487-8d6d-cc1369e07e5d,Panteleemon 3
https://r11.eu/rdf/resource/2e36fb9d-85b7-4721-b231-132f59a782dc,Panteleemon 3
https://r11.eu/rdf/resource/5e65fa2a-29d7-4c29-893b-f7f26b6281e3,Panteleemon 3
https://r11.eu/rdf/resource/483ac19b-54ff-407d-9f52-36c8e36280e3,Lavra 31
https://r11.eu/rdf/resource/85214e01-9f71-4f85-bbb2-ac53ca4b86e3,Vatopedi 7
